type,description
Water,"['Water', 'Colorless', 'Colorless'],Polar Spear-GX,'This attack does 50 damage for each damage counter on your opponent's Active Pok\u00e9mon. (You can't use more than 1 GX attack in a game.)',50\u00d7"
Fighting,"['Colorless'],Solar Generator,'Search your deck for up to 2 Special Energy cards, reveal them, and put them into your hand. Shuffle your deck afterward.',"
Fighting,"['Fighting', 'Colorless'],Knock Away,'Flip a coin. If heads, this attack does 20 more damage.',20+"
Water,"['Water'],Spatial Control,'Move any number of Energy from your Benched Pok\u00e9mon to this Pok\u00e9mon.',"
Water,"['Colorless', 'Colorless', 'Colorless'],Hydro Pressure,'This attack does 20 more damage times the amount of Water Energy attached to this Pok\u00e9mon.',60+"
Water,"['Water', 'Water', 'Water', 'Colorless', 'Colorless'],Zero Vanish-GX,'Shuffle all Energy from each of your opponent's Pok\u00e9mon into their deck. (You can't use more than 1 GX attack in a game.)',150"
Water,"['Metal'],Overclock,'Draw cards until you have 6 cards in your hand.',"
Water,"['Metal', 'Colorless', 'Colorless'],Shred,'This attack's damage isn't affected by any effects on your opponent's Active Pok\u00e9mon.',80"
Water,"['Metal', 'Metal', 'Metal', 'Colorless', 'Colorless'],Timeless-GX,'Take another turn after this one. (Skip the between-turns step.) (You can't use more than 1 GX attack in a game.)',150"
Grass,"['Colorless'],Twin Play,'Search your deck for up to 2 Scyther and put them onto your Bench. Then, shuffle your deck.',"
Grass,"['Colorless', 'Colorless'],Agility,'Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pok\u00e9mon during your opponent's next turn.',20"
Grass,"['Grass'],Stun Poison,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed and Poisoned.',"
Grass,"['Colorless', 'Colorless'],Pierce,'',20"
Grass,"['Colorless'],Reactive Poison,'This attack does 50 more damage for each Special Condition affecting your opponent's Active Pok\u00e9mon.',20+"
Grass,"['Grass'],Spider Trap,'You may switch 1 of your opponent's Benched Pok\u00e9mon with their Active Pok\u00e9mon. Your opponent's Active Pok\u00e9mon is now Asleep and Poisoned.',"
Grass,"['Grass'],Sleep Poison,'Your opponent's Active Pok\u00e9mon is now Asleep and Poisoned.',"
Grass,"['Grass'],Smack,'',10"
Grass,"['Grass', 'Colorless'],Tail Whap,'',20"
Grass,"['Grass'],Leaf Blade,'Flip a coin. If heads, this attack does 40 more damage.',20+"
Grass,"['Grass'],Powerful Storm,'This attack does 20 damage times the amount of Energy attached to all of your Pok\u00e9mon.',20\u00d7"
Lightning,"['Lightning'],Booming Thunder,'Attach a Lightning Energy card from your discard pile to 1 of your Benched Pok\u00e9mon.',30"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Electric Ball,'',90"
Fighting,"['Fighting', 'Fighting', 'Fighting', 'Colorless'],Gaia Volcano,'If there is any Stadium card in play, this attack does 100 more damage. Discard that Stadium card.',100+"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Resistance Desert,'During your opponent's next turn, prevent all effects of attacks, including damage, done to this Pok\u00e9mon by Pok\u00e9mon-EX.',60"
Fighting,"['Fighting', 'Fighting', 'Colorless', 'Colorless'],Double-Edge,'This Pok\u00e9mon does 20 damage to itself.',100"
Grass,"['Colorless'],Bubble,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',"
Grass,"['Grass'],Surprising Pattern,'Discard all Special Energy from each of your opponent's Pok\u00e9mon.',"
Grass,"['Colorless', 'Colorless', 'Colorless'],Hurricane Wing,'Flip 4 coins. This attack does 40 damage for each heads.',40\u00d7"
Grass,"['Grass'],Pheromone Catch,'If your Illumise used Pheromone Signals during your last turn, this attack does 100 more damage.',20+"
Grass,"['Grass'],Pheromone Signals,'Your opponent's Active Pok\u00e9mon is now Confused.',20"
Psychic,"['Darkness', 'Colorless'],Hunt,'Switch 1 of your opponent's Benched Pok\u00e9mon with his or her Active Pok\u00e9mon. This attack does 30 damage to the new Active Pok\u00e9mon.',"
Psychic,"['Darkness', 'Darkness', 'Colorless'],Jagged Fang,'Discard an Energy attached to this Pok\u00e9mon. Then, discard an Energy attached to your opponent's Active Pok\u00e9mon.',100"
Grass,"['Grass'],Find a Friend,'Search your deck for up to 2 Pok\u00e9mon, reveal them, and put them into your hand. Then, shuffle your deck.',"
Grass,"['Grass', 'Colorless', 'Colorless'],Solar Beam,'',70"
Fire,"['Colorless'],Magma Ring,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',10"
Fire,"['Fire', 'Colorless'],Flare,'',20"
Fire,"['Fire', 'Colorless', 'Colorless'],Combustion,'',50"
Fire,"['Fire'],Ember,'Discard an Energy from this Pok\u00e9mon.',30"
Fire,"['Fire'],Peck,'',10"
Fire,"['Fire', 'Colorless'],Live Coal,'',20"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Crabhammer,'',60"
Fire,"['Colorless', 'Colorless'],Flaming Honk,'Discard the top 4 cards of your deck. If any of those cards are Fire Energy cards, attach them to your Pok\u00e9mon in any way you like.',30"
Fire,"['Fire', 'Fire', 'Colorless'],Searing Flame,'Your opponent's Active Pok\u00e9mon is now Burned.',80"
Fire,"['Fire'],Captivating Salsa,'Switch 1 of your opponent's Benched Pok\u00e9mon with their Active Pok\u00e9mon. The new Active Pok\u00e9mon is now Burned and Confused.',"
Fire,"['Fire', 'Colorless', 'Colorless'],Heat Blast,'',70"
Water,"['Water', 'Water', 'Colorless'],Ice Wing,'',130"
Water,"['Water'],Cold Crush-GX,'Discard all Energy from both Active Pok\u00e9mon. (You can't use more than 1 GX attack in a game.)',"
Water,"['Colorless'],Water Reserve,'Search your deck for up to 3 Water Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.',"
Water,"['Water'],Tackle,'',10"
Water,"['Water', 'Colorless'],Wave Splash,'',20"
Water,"['Colorless', 'Colorless', 'Colorless'],Hydro Pump,'This attack does 20 more damage times the amount of Water Energy attached to this Pok\u00e9mon.',80+"
Water,"['Water'],Surprise,'Choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into their deck.',10"
Water,"['Colorless', 'Colorless'],Ambush,'Flip a coin. If heads, this attack does 20 more damage.',20+"
Water,"['Water', 'Colorless', 'Colorless'],Circular Steps,'This attack does 10 more damage for each other Pok\u00e9mon in play (both yours and your opponent's).',70+"
Water,"['Water', 'Water', 'Water'],Wave Swallower,'Flip a coin until you get tails. For each heads, heal 50 damage from this Pok\u00e9mon.',50"
Water,"['Water', 'Water', 'Water', 'Water'],Dwindling Wave,'This attack does 40 less damage for each damage counter on this Pok\u00e9mon.',200-"
Water,"['Water'],Sparkling Pearl,'',10"
Psychic,"['Darkness', 'Darkness', 'Colorless'],Dark Destruction,'You may discard an Energy from this Pok\u00e9mon. If you do, discard an Energy from your opponent's Active Pok\u00e9mon.',120"
Fighting,"['Metal', 'Metal', 'Colorless', 'Colorless'],Megaton Slam,'You may flip a coin. If heads, this attack does 120 more damage. If tails, this attack does 20 damage to each of your Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',120+"
Fighting,"['Metal'],Metal Sound,'Your opponent's Active Pok\u00e9mon is now Confused.',"
Water,"['Colorless'],Even Game,'Search your deck for a number of Basic Pok\u00e9mon up to the number of your opponent's Benched Pok\u00e9mon and put those Pok\u00e9mon onto your Bench. Then, shuffle your deck.',"
Water,"['Colorless', 'Colorless'],Water Pulse,'Your opponent's Active Pok\u00e9mon is now Asleep.',20"
Water,"['Water', 'Colorless', 'Colorless'],Icy Wind,'Your opponent's Active Pok\u00e9mon is now Asleep.',60"
Water,"['Water', 'Colorless'],Dual Splash,'This attack does 30 damage to 2 of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Water,"['Water', 'Water', 'Colorless'],Grand Wave,'This Pok\u00e9mon can't use Grand Wave during your next turn.',120"
Lightning,"['Lightning', 'Colorless'],Thunder Shock,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',20"
Fighting,"['Colorless', 'Colorless'],False Swipe,'Flip a coin. If heads, put damage counters on your opponent's Active Pok\u00e9mon until its remaining HP is 10.',"
Fighting,"['Metal', 'Metal', 'Colorless'],Slash,'',60"
Lightning,"['Lightning'],Zap Kick,'',20"
Lightning,"['Colorless'],Draw for Everybody,'Shuffle your hand into your deck. Then, draw a card for each Benched Pok\u00e9mon (both yours and your opponent's).',"
Lightning,"['Lightning', 'Colorless'],Electro Ball,'',30"
Lightning,"['Colorless'],Ditch and Draw,'You may discard any number of cards from your hand. Then, draw cards until you have 5 cards in your hand.',"
Lightning,"['Lightning', 'Colorless'],Electro Ball,'',30"
Lightning,"['Lightning'],Zappy Pom-Poms,'This attack does 30 damage to each Pok\u00e9mon-GX and Pok\u00e9mon-EX (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Electric Ball,'',70"
Grass,"['Grass', 'Colorless'],Drool,'',30"
Grass,"['Grass', 'Grass', 'Colorless'],Solar Beam,'',70"
Colorless,"['Fairy'],Life Leap,'Heal from this Pok\u00e9mon the same amount of damage you did to your opponent's Active Pok\u00e9mon.',20"
Colorless,"['Fairy', 'Fairy', 'Fairy'],Shining Wind,'During your opponent's next turn, this Pok\u00e9mon has no Weakness.',100"
Psychic,"['Colorless'],Bounce,'Switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon.',"
Psychic,"['Colorless'],Mirror Step,'If 1 of your opponent's Pok\u00e9mon in play has the same name as 1 of your Pok\u00e9mon in play, this attack does 70 more damage.',10+"
Psychic,"['Psychic'],Psyshock,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',10"
Psychic,"['Colorless'],Scorching Light,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed. If tails, your opponent's Active Pok\u00e9mon is now Burned.',"
Colorless,"['Fairy', 'Colorless', 'Colorless'],Brilliant Arrow,'This attack does 30 damage times the amount of Fairy Energy attached to all of your Pok\u00e9mon.',30\u00d7"
Water,"['Colorless'],Gather Strength,'Search your deck for up to 4 basic Energy cards, reveal them, and put them into your hand. Shuffle your deck afterward.',"
Water,"['Water', 'Water', 'Lightning'],Dragon Blast,'Discard a Water Energy and a Lightning Energy attached to this Pok\u00e9mon.',150"
Psychic,"['Colorless', 'Colorless'],Psychic,'This attack does 20 more damage times the amount of Energy attached to your opponent's Active Pok\u00e9mon.',20+"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Power Blast,'Discard an Energy from this Pok\u00e9mon.',120"
Psychic,"['Colorless'],Reflect,'During your opponent's next turn, this Pok\u00e9mon takes 40 less damage from attacks (after applying Weakness and Resistance).',"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Psychic Corkscrew,'This attack's damage isn't affected by Resistance.',80"
Psychic,"['Psychic'],Teleportation Burst,'You may switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon.',20"
Psychic,"['Colorless', 'Colorless', 'Colorless'],Spear Dive,'This attack does 50 damage to 1 of your opponent's Pok\u00e9mon. This damage isn't affected by Weakness or Resistance.',"
Colorless,"['Colorless'],Sand Attack,'If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.',"
Colorless,"['Colorless', 'Colorless'],Headbutt,'',20"
Fighting,"['Colorless'],Tackle,'',10"
Fighting,"['Fighting'],Endure,'Flip a coin. If heads, if this Pok\u00e9mon would be Knocked Out by damage from an attack during your opponent's next turn, it is not Knocked Out, and its remaining HP becomes 10.',"
Fighting,"['Fighting'],Flail,'This attack does 10 damage for each damage counter on this Pok\u00e9mon.',10\u00d7"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Rapid Spin,'Switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon. If you do, your opponent switches their Active Pok\u00e9mon with 1 of their Benched Pok\u00e9mon.',50"
Fighting,"['Colorless'],Leer,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',"
Fighting,"['Fighting', 'Colorless'],Rock Throw,'',20"
Fighting,"['Colorless', 'Colorless'],Skull Bash,'',20"
Fighting,"['Fighting', 'Fighting'],Dust Devil,'This attack does 20 damage to each non-Fighting Pok\u00e9mon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Fighting,"['Fighting'],Bide,'Flip a coin. If heads, if this Pok\u00e9mon would be Knocked Out by damage from an attack during your opponent's next turn, it is not Knocked Out, and its remaining HP becomes 10.',"
Fighting,"['Fighting', 'Fighting'],Kick,'',30"
Colorless,"['Colorless', 'Colorless'],Trip Over,'Flip a coin. If heads, this attack does 30 more damage.',10+"
Fighting,"['Colorless'],Psy Bolt,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',20"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Miraculous Spin,'This attack does 40 damage for each Steven's Resolve card in your discard pile.',40\u00d7"
Fighting,"['Fighting'],Enhanced Stomp,'If this Pok\u00e9mon has a Pok\u00e9mon Tool card attached to it, this attack does 20 more damage.',20+"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Hammer Arm,'Discard the top card of your opponent's deck.',100"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Wreck,'If there is any Stadium card in play, this attack does 50 more damage. Then, discard that Stadium card.',50+"
Fighting,"['Fighting', 'Fighting', 'Colorless', 'Colorless'],Ground Slash,'Discard an Energy from this Pok\u00e9mon.',130"
Fighting,"['Fighting'],Swift,'This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pok\u00e9mon.',30"
Fire,"['Fire', 'Colorless'],Tumbling Attack,'Flip a coin. If heads, this attack does 30 more damage.',30+"
Fire,"['Fire', 'Fire', 'Colorless', 'Colorless'],Explosive Jet,'Discard as many Fire Energy attached to your Pok\u00e9mon as you like. This attack does 50 damage times the number of Energy cards you discarded.',50\u00d7"
Water,"['Water', 'Water', 'Water', 'Water', 'Water'],High Breaching,'This Pok\u00e9mon is now Asleep.',120"
Psychic,"['Colorless', 'Colorless', 'Colorless'],Slam,'Flip 2 coins. This attack does 60 damage for each heads.',60\u00d7"
Psychic,"['Darkness', 'Darkness', 'Colorless', 'Colorless'],Trample,'For each Benched Pok\u00e9mon (both yours and your opponent's), flip a coin. If heads, this attack does 60 damage to that Pok\u00e9mon. This attack's damage isn't affected by Weakness or Resistance.',120"
Psychic,"['Colorless'],Disable,'Choose 1 of your opponent's Active Pok\u00e9mon's attacks. That Pok\u00e9mon can't use that attack during your opponent's next turn.',10"
Fighting,"['Colorless', 'Colorless'],Tackle,'',30"
Fighting,"['Metal', 'Colorless', 'Colorless'],Tail Crush,'Flip a coin. If heads, this attack does 40 more damage.',80+"
Water,"['Water'],Rock Head,'During your opponent's next turn, this Pok\u00e9mon takes 10 less damage from attacks (after applying Weakness and Resistance).',10"
Water,"['Water', 'Water', 'Water', 'Colorless'],Tidal Storm,'Move 2 Energy from this Pok\u00e9mon to 1 of your Benched Pok\u00e9mon. This attack does 30 damage to each of your opponent's Benched Pok\u00e9mon-EX. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',150"
Psychic,"['Darkness', 'Colorless'],Hunt,'Switch 1 of your opponent's Benched Pok\u00e9mon with his or her Active Pok\u00e9mon. This attack does 30 damage to the new Active Pok\u00e9mon.',"
Psychic,"['Darkness', 'Darkness', 'Colorless'],Jagged Fang,'Discard an Energy attached to this Pok\u00e9mon. Then, discard an Energy attached to your opponent's Active Pok\u00e9mon.',100"
Fighting,"['Metal'],Ram,'',10"
Fighting,"['Colorless', 'Colorless'],Single Smash,'Flip a coin. If tails, this attack does nothing.',50"
Fighting,"['Metal'],Meteor Mash,'During your next turn, this Pok\u00e9mon's Meteor Mash attack does 60 more damage (before applying Weakness and Resistance).',60"
Water,"['Fire', 'Colorless'],Reckless Charge,'This Pok\u00e9mon does 10 damage to itself.',40"
Colorless,"['Fairy'],Life Leap,'Heal from this Pok\u00e9mon the same amount of damage you did to your opponent's Active Pok\u00e9mon.',20"
Colorless,"['Fairy', 'Fairy', 'Fairy'],Shining Wind,'During your opponent's next turn, this Pok\u00e9mon has no Weakness.',100"
Psychic,"['Psychic'],Rainbow Wave,'Choose a type of Energy other than Colorless attached to Mew. This attack does 20 damage to each of your opponent's Pok\u00e9mon of that type (including Benched Pok\u00e9mon). Don't apply Weakness and Resistance.',"
Fighting,"['Metal', 'Metal', 'Colorless'],Rising Dash,'This attack's damage isn't affected by Resistance.',130"
Fighting,"['Metal', 'Colorless', 'Colorless', 'Colorless', 'Colorless'],Moon Raker,'If the total of both players' remaining Prize cards is exactly 6, this attack can be used for Metal.',160"
Fighting,"['Metal', 'Metal'],Divine Paper,'If your opponent has exactly 6 Prize cards remaining, this attack does 90 more damage.',40+"
Fighting,"['Metal', 'Metal', 'Colorless'],Gigaton Stomp,'',120"
Fighting,"['Metal', 'Metal', 'Colorless'],Assembly-GX,'This attack does 50 more damage for each Prize card you have taken. (You can't use more than 1 GX attack in a game.)',50+"
Colorless,"['Colorless', 'Colorless'],Supersonic Flight,'Flip a coin. If tails, this attack does nothing.',40"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Slicing Wind,'',50"
Fighting,"['Colorless', 'Colorless'],Slam,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Fighting,"['Fighting', 'Fighting', 'Fighting', 'Fighting'],Body Slam,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',40"
Water,"['Colorless', 'Colorless'],Dragon Fleet,'This attack does 50 damage for each of your Evolution Dragon Pok\u00e9mon in play.',50\u00d7"
Water,"['Grass', 'Lightning', 'Colorless'],Dragon Break,'This attack does 30 damage times the amount of basic Grass and basic Lightning Energy attached to your Pok\u00e9mon.',30\u00d7"
Water,"['Grass'],Tempest-GX,'Discard your hand and draw 10 cards. (You can't use more than 1 GX attack in a game.)',"
Colorless,"['Colorless'],Strike and Run,'Search your deck for up to 3 Basic Pok\u00e9mon and put them onto your Bench. Then, shuffle your deck. If you put any Pok\u00e9mon onto your Bench in this way, you may switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon.',"
Colorless,"['Colorless'],Sudden Flash,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',10"
Colorless,"['Colorless'],Bawl,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',10"
Colorless,"['Colorless', 'Colorless'],Fury Swipes,'Flip 3 coins. This attack does 20 damage for each heads.',20\u00d7"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Rage,'This attack does 10 more damage for each damage counter on this Pok\u00e9mon.',20+"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Critical Move,'Discard an Energy from this Pok\u00e9mon. It can't attack during your next turn.',160"
Colorless,"['Colorless'],Bawl,'You can use this attack only if you go second, and only on your first turn. Your opponent can't play any Trainer cards from their hand during their next turn.',"
Colorless,"['Colorless', 'Colorless'],Pound,'',20"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Wail,'Your opponent switches their Active Pok\u00e9mon with 1 of their Benched Pok\u00e9mon.',40"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Cracking Voice,'Your opponent's Active Pok\u00e9mon is now Confused.',60"
Grass,"['Grass'],Strange Scent,'Each player flips a coin. Each player who gets heads chooses a total of 3 damage counters from among his or her Pok\u00e9mon and removes them. (If the player's Pok\u00e9mon have fewer total damage counters than that, he or she removes all of them.)',"
Grass,"['Grass', 'Grass'],Razor Leaf,'',30"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Slash,'',80"
Colorless,"['Colorless', 'Colorless'],Sharp Teeth,'Flip a coin. If heads, this attack does 10 damage plus 30 more damage; if tails, this attack does 10 damage.',10+"
Grass,"['Colorless'],Gnaw,'',10"
Grass,"['Grass', 'Grass'],Agility,'Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Ledyba.',20"
Colorless,"['Colorless'],Tempting Eyes,'Choose 1 of your opponent's Benched Pok\u00e9mon and switch it with the Defending Pok\u00e9mon.',"
Colorless,"['Colorless'],Sing,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Asleep.',"
Lightning,"['Lightning', 'Colorless'],Electro Ball,'',50"
Lightning,"['Lightning', 'Colorless'],Crush and Burn-GX,'Discard any amount of Energy from your Pok\u00e9mon. This attack does 50 more damage for each card you discarded in this way. (You can't use more than 1 GX attack in a game.)',30+"
Psychic,"['Psychic', 'Colorless'],Breakdown,'For each card in your opponent's hand, put 1 damage counter on their Active Pok\u00e9mon.',"
Psychic,"['Colorless'],Life Trick-GX,'Heal all damage from this Pok\u00e9mon. (You can't use more than 1 GX attack in a game.)',"
Grass,"['Colorless', 'Colorless', 'Colorless'],Fly,'Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Butterfree. If tails, this attack does nothing (not even damage).',30"
Grass,"['Grass', 'Grass', 'Colorless'],Rainbow Powder,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed. If tails, the Defending Pok\u00e9mon is now Poisoned.',20"
Fighting,"['Metal', 'Metal', 'Colorless'],Gigaton Stomp,'',120"
Fighting,"['Metal', 'Metal', 'Colorless'],Assembly-GX,'This attack does 50 more damage for each Prize card you have taken. (You can't use more than 1 GX attack in a game.)',50+"
Water,"['Grass', 'Lightning', 'Colorless'],Dragon Break,'This attack does 30 damage times the amount of basic Grass and basic Lightning Energy attached to your Pok\u00e9mon.',30\u00d7"
Water,"['Grass'],Tempest-GX,'Discard your hand and draw 10 cards. (You can't use more than 1 GX attack in a game.)',"
Water,"['Water'],Tentacle Grip,'Flip a number of coins equal to the number of Water Energy cards attached to Tentacruel. For each heads, draw 2 cards.',"
Water,"['Water', 'Water'],Poison Sting,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Water,"['Water'],Tentacle Grip,'Flip a number of coins equal to the number of Water Energy cards attached to Tentacruel. For each heads, draw 2 cards.',"
Water,"['Water', 'Water'],Poison Sting,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned.',20"
Water,"['Colorless'],Gentle Song,'If Lapras has any damage counters on it, remove 2 of them from it (1 if it only has 1). If the Defending Pok\u00e9mon has any damage counters on it, remove 2 of them from it (1 if it only has 1). The Defending Pok\u00e9mon is now Asleep.',"
Water,"['Water', 'Water'],Ice Beam,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Lightning,"['Lightning'],Thundershock,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Reflect Energy,'If you have any Benched Pok\u00e9mon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pok\u00e9mon.',50"
Water,"['Water'],Bubble,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Water,"['Water', 'Colorless'],Wave Splash,'',20"
Grass,"['Grass'],Sharpshooter,'Choose 1 of your opponent's Pok\u00e9mon. Flip a number of coins equal to the number of Grass Energy attached to Exeggutor. This attack does 10 damage times the number of heads to that Pok\u00e9mon. Don't apply Weakness and Resistance.',"
Psychic,"['Psychic'],Revelation,'Flip a coin. If heads, search your deck for a Trainer card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.',"
Psychic,"['Psychic', 'Colorless'],Psychic,'Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pok\u00e9mon.',10+"
Lightning,"['Lightning'],Nuzzle,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',"
Lightning,"['Colorless', 'Colorless', 'Colorless'],Rollout,'',50"
Water,"['Water', 'Water'],Water Gun,'Does 20 damage plus 10 more damage for each Water Energy attached to Wartortle but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.',20+"
Colorless,"['Colorless'],Lick Wounds,'Flip a coin. If heads, choose 1 Pok\u00e9mon (yours or your opponent's) with damage counters on it and remove 2 damage counters from it (1 if it only has 1).',"
Colorless,"['Colorless', 'Colorless'],Tongue Stretch,'Flip a coin. If heads, choose 1 of your opponent's Pok\u00e9mon. This attack does 20 damage to that Pok\u00e9mon. Don't apply Weakness and Resistance.',"
Grass,"['Grass'],Paradise Pollen,'Flip a coin. If heads, remove 2 damage counters from Vileplume (1 if it only has 1). Then, if you have any Benched Pok\u00e9mon with damage counters on them, choose 1 of them and remove 2 damage counters from it (1 if it only has 1).',"
Grass,"['Grass', 'Grass', 'Colorless'],Horrid Pollen,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed. If tails, the Defending Pok\u00e9mon is now Confused.',30"
Psychic,"['Psychic'],Psywave,'This attack does 20 damage times the amount of Energy attached to your opponent's Active Pok\u00e9mon.',20\u00d7"
Psychic,"['Psychic', 'Colorless'],Magical Swap,'Move any number of damage counters on your opponent's Pok\u00e9mon to their other Pok\u00e9mon in any way you like.',"
Colorless,"['Fairy', 'Colorless', 'Colorless'],Break Through,'This attack does 30 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',60"
Colorless,"['Fairy', 'Fairy', 'Colorless', 'Colorless'],X Blast,'This Pok\u00e9mon can't use X Blast during your next turn.',140"
Grass,"['Grass', 'Colorless', 'Colorless'],Resolute Claws,'If your opponent's Active Pok\u00e9mon is a Pok\u00e9mon-GX or a Pok\u00e9mon-EX, this attack does 70 more damage (before applying Weakness and Resistance).',80+"
Grass,"['Grass'],Vine Whip,'',10"
Grass,"['Grass', 'Colorless'],Seed Bomb,'',20"
Fighting,"['Fighting'],Low Kick,'',20"
Fighting,"['Fighting', 'Fighting'],Rampage,'Does 20 damage plus 10 more damage for each damage counter on Primeape. Flip a coin. If tails, Primeape is now Confused (after doing damage).',20+"
Fighting,"['Colorless'],Tackle,'',10"
Fighting,"['Fighting', 'Colorless'],Rock Throw,'',20"
Fire,"['Fire', 'Colorless'],Combustion,'',30"
Water,"['Colorless'],Hydro Pump,'This attack does 20 more damage times the amount of Water Energy attached to this Pok\u00e9mon.',10+"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Collapse,'This Pok\u00e9mon is now Asleep.',80"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless', 'Colorless'],Thunderous Snore,'This attack can be used if this Pok\u00e9mon is Asleep. If it is not Asleep, this attack does nothing.',180"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless', 'Colorless'],Pulverizing Pancake-GX,'This Pok\u00e9mon is now Asleep. (You can't use more than 1 GX attack in a game.)',210"
Lightning,"['Colorless'],Defense Curl,'Flip a coin. If heads, prevent all damage done to this Pok\u00e9mon by attacks during your opponent's next turn.',"
Lightning,"['Lightning'],Discharge,'Discard all Lightning Energy from this Pok\u00e9mon. This attack does 30 damage for each card you discarded in this way.',30\u00d7"
Psychic,"['Psychic', 'Psychic', 'Psychic'],Super Psy Bolt,'',100"
Psychic,"['Darkness'],Stampede,'',10"
Psychic,"['Colorless', 'Colorless'],Ram,'',20"
Psychic,"['Psychic', 'Colorless'],Shadow Punch,'This attack's damage isn't affected by Resistance.',30"
Lightning,"['Lightning'],Energize,'Attach a Lightning Energy card from your discard pile to this Pok\u00e9mon.',"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Thunderbolt,'Discard all Energy attached to this Pok\u00e9mon.',80"
Grass,"['Grass', 'Colorless', 'Colorless'],Poison Powder,'Your opponent's Active Pok\u00e9mon is now Poisoned.',60"
Grass,"['Grass', 'Grass', 'Colorless', 'Colorless'],Jungle Hammer,'Heal 30 damage from this Pok\u00e9mon.',90"
Fighting,"['Metal', 'Metal', 'Colorless'],Sunsteel Strike,'Discard all Energy from this Pok\u00e9mon.',230"
